A2M NP_000005.3
CCT5 NP_036205.1
CCT8 NP_006576.2
CCT8L2 NP_055221.1
CD101 NP_001243035.1
CD109 NP_598000.2
CD160 NP_008984.1
CD164L2 NP_001317377.1
CD177 NP_065139.2
CD180 NP_005573.2
CD19 NP_001761.3
CD1A NP_001754.2
CD1B NP_001755.1
CD1C NP_001756.2
CD1E NP_112155.2
CD200 NP_005935.4
CD200R1 NP_620386.1
CD200R1 NP_740750.1
CD209 NP_066978.1
CD22 NP_001762.2
CD27 NP_001233.1
CD28 NP_006130.1
CD2AP NP_036252.1
CD320 NP_057663.1
CD33 NP_001763.3
CD34 NP_001020280.1
CD36 NP_001001547.1
CD38 NP_001766.2
CD3E NP_000724.1
CD3G NP_000064.1
CD4 NP_000607.1
CD40 NP_001241.1
CD40LG NP_000065.1
CD44 NP_000601.3
CD46 NP_758861.1
CD48 NP_001769.2
CD55 NP_000565.1
CD79A NP_001774.1
CD80 NP_005182.1
CD83 NP_004224.1
CD84 NP_003865.1
CD8A NP_001759.3
CD93 NP_036204.2
CD96 NP_005807.1
CDAN1 NP_612486.2
CDC14A NP_003663.2
CDC16 NP_001072113.1
CDC20 NP_001246.2
CDC23 NP_004652.2
CDC25B NP_068659.1
CDC42 NP_001782.1
CDC42BPA NP_003598.2
CDC42BPB NP_006026.3
CDC45 NP_001171481.1
CDC5L NP_001244.1
CDC6 NP_001245.1
CDC73 NP_078805.3
CDCP1 NP_073753.3
CDH1 NP_004351.1
CDH11 NP_001788.2
CDH12 NP_004052.2
CDH13 NP_001248.1
CDH15 NP_004924.1
CDH16 NP_004053.1
CDH17 NP_004054.3
CDH19 NP_066976.1
CDH20 NP_114097.2
CDH26 NP_817089.1
CDH3 NP_001784.2
CDH4 NP_001785.2
CDH5 NP_001786.2
CDH6 NP_004923.1
CDH7 NP_004352.2
CDH8 NP_001787.2
CDH9 NP_057363.3
CDHR1 NP_149091.1
CDHR3 NP_689963.2
CDHR5 NP_068743.3
CDIN1 NP_001308688.1
CDIPT NP_006310.1
CDK10 NP_443714.3
CDK12 NP_057591.2
CDK13 NP_003709.3
CDK14 NP_036527.1
CDK15 NP_001353315.1
CDK18 NP_997667.1
CDK19 NP_055891.1
CDK4 NP_000066.1
CDK5 NP_004926.1
CDK5RAP2 NP_060719.4
CDK8 NP_001251.1
CDKAL1 NP_060244.2
CDKL5 NP_001310218.1
CDKN1A NP_000380.1
CDKN2A NP_000068.1
CDKN2A NP_001182061.1
CDKN2C NP_523240.1
CDON NP_001365893.1
CDON NP_058648.4
CDRT1 NP_006373.2
CDRT15 NP_001007531.1
CDSN NP_001255.4
CDT1 NP_112190.2
CDYL NP_004815.3
CEACAM16 NP_001034302.2
CEACAM19 NP_001121365.1
CEACAM21 NP_001091976.3
CEACAM3 NP_001806.2
CEACAM5 NP_004354.3
CEACAM6 NP_002474.4
CEACAM8 NP_001807.2
CEBPE NP_001796.2
CELA3B NP_031378.1
CELSR1 NP_055061.1
CELSR2 NP_001399.1
CEMIP NP_001280227.1
CENATAC NP_940891.1
CENPE NP_001804.2
CENPF NP_057427.3
CENPO NP_001309030.1
CENPP NP_001012267.1
CENPU NP_078905.2
CENPW NP_001012525.1
CEP104 NP_055519.1
CEP126 NP_065853.3
CEP135 NP_079285.2
CEP152 NP_001181927.1
CEP164 NP_055771.4
CEP192 NP_115518.3
CEP295 NP_203753.1
CEP350 NP_055625.4
CEP41 NP_061188.1
CEP43 NP_008976.1
CEP44 NP_001035247.1
CEP55 NP_060601.4
CEP57 NP_055494.2
CEP70 NP_077817.2
CEP85 NP_001306873.1
CEP89 NP_116205.3
CEP97 NP_078824.2
CEPT1 NP_006081.1
CERK NP_073603.2
CERKL NP_963842.1
CERS4 NP_078828.2
CETN1 NP_004057.1
CETP NP_000069.2
CFAP100 NP_872434.2
CFAP157 NP_001012520.2
CFAP251 NP_653269.3
CFAP410 NP_004919.1
CFAP43 NP_079421.5
CFAP44 NP_001157968.1
CFAP45 NP_036469.2
CFAP52 NP_659491.4
CFAP53 NP_659457.2
CFAP58 NP_001008723.1
CFAP77 NP_001269886.1
CFB NP_001701.2
CFD NP_001919.2
CFH NP_000177.2
CFHR2 NP_005657.1
CFHR3 NP_066303.2
CFHR4 NP_001188479.1
CFHR5 NP_110414.1
CFI NP_000195.2
CFI NP_000195.3
CFP NP_001138724.1
CFTR NP_000483.3
CGAS NP_612450.2
CHAC2 NP_001008708.1
CHAD NP_001258.2
CHAMP1 NP_115812.1
CHCHD10 NP_998885.1
CHD1 NP_001261.2
CHD1L NP_004275.4
CHD2 NP_001262.3
CHD3 NP_001005271.2
CHD6 NP_115597.3
CHEK1 NP_001107594.1
CHEK2 NP_001005735.1
CHEK2 NP_009125.1
CHFR NP_001154816.1
CHGA NP_001266.1
CHGB NP_001810.2
CHI3L1 NP_001267.2
CHI3L2 NP_003991.2
CHIA NP_970615.2
CHIT1 NP_003456.1
CHKB NP_005189.2
CHL1 NP_006605.2
CHM NP_000381.1
CHMP1A NP_002759.2
CHMP2B NP_054762.2
CHMP6 NP_078867.2
CHMP7 NP_689485.1
CHN1 NP_001813.1
CHODL NP_079220.2
CHPF NP_078812.3
CHPF2 NP_061888.1
CHRM2 NP_001006631.1
CHRM5 NP_036257.1
CHRNA1 NP_001034612.1
CHRNA10 NP_065135.2
CHRNA3 NP_000734.2
CHRNA4 NP_000735.1
CHRNA5 NP_000736.2
CHRNA6 NP_004189.1
CHRNA7 NP_000737.1
CHRNA9 NP_060051.2
CHRNB1 NP_000738.2
CHRNB2 NP_000739.1
CHRNB4 NP_000741.1
CHRND NP_000742.1
CHRNE NP_000071.1
CHRNG NP_005190.4
CHST12 NP_061111.1
CHST3 NP_004264.2
CHST4 NP_001159867.1
CHST6 NP_067628.1
CHTF18 NP_071375.1
CHTOP NP_056422.2
CHUK NP_001269.3
CIAO3 NP_071938.1
CIB2 NP_006374.1
CIC NP_055940.3
CIDEB NP_001380268.1
CIITA NP_000237.2
CIP2A NP_065941.2
CIRBP NP_001287758.1
CIT NP_001193928.1
CITED2 NP_006070.2
CKLF NP_058647.1
CLBA1 NP_777551.2
CLCA1 NP_001276.3
CLCA2 NP_006527.1
CLCC1 NP_001364387.1
CLCN1 NP_000074.3
CLCN2 NP_004357.3
CLCN3 NP_001820.2
CLCN4 NP_001821.2
CLCN5 NP_001121370.1
CLCN6 NP_001277.1
CLCN7 NP_001278.1
CLCNKA NP_004061.3
CLCNKB NP_000076.2
CLDN1 NP_066924.1
CLDN14 NP_001139551.1
CLDN16 NP_006571.1
CLDN19 NP_683763.2
CLDN2 NP_065117.1
CLDN8 NP_955360.1
CLDN9 NP_066192.1
CLEC4C NP_569708.1
CLEC4F NP_775806.2
CLECL1 XP_011518876.1
CLIC2 NP_001280.3
CLIC5 NP_001107558.1
CLIP3 NP_056341.1
CLK2 NP_001281267.1
CLMN NP_079010.2
CLMP NP_079045.1
CLN5 NP_006484.2
CLN8 NP_061764.2
CLP1 NP_006822.1
CLPB NP_001245321.1
CLPTM1 NP_001285.1
CLPX NP_006651.2
CLRN2 NP_001073296.1
CLRN3 NP_689524.1
CLSPN NP_071394.2
CLSTN1 NP_001009566.1
CLSTN2 NP_071414.2
CLSTN3 NP_055533.2
CLU NP_001822.3
CLUAP1 NP_055856.1
CMA1 NP_001827.1
CMBL NP_620164.1
CMKLR1 NP_001135815.1
CMTM1 NP_443725.3
CMTM2 NP_653274.1
CMTM6 NP_060271.1
CMTR2 NP_060818.4
CNDP1 NP_116038.4
CNDP2 NP_060705.2
CNEP1R1 NP_694993.2
CNGA1 NP_000078.2
CNGA2 NP_005131.1
CNGA3 NP_001289.1
CNGA4 NP_001032406.1
CNGB1 NP_001288.3
CNGB3 NP_061971.3
CNKSR1 NP_006305.2
CNN3 NP_001830.1
CNNM2 NP_060119.3
CNNM4 NP_064569.3
CNOT10 NP_056257.1
CNOT8 NP_001288002.1
CNP NP_149124.3
CNPY3 NP_006577.2
CNR2 NP_001832.1
CNRIP1 NP_056278.1
CNTD1 NP_775749.2
CNTF NP_000605.1
CNTLN NP_060208.2
CNTN1 NP_001834.2
CNTN2 NP_005067.1
CNTN3 NP_065923.1
CNTN4 NP_783200.1
CNTN5 NP_055176.1
CNTN6 NP_001276009.1
CNTNAP1 NP_003623.1
CNTNAP2 NP_054860.1
CNTNAP5 NP_570129.1
CNTRL NP_008949.4
CNTROB NP_444279.2
COA7 NP_075565.2
COASY NP_079509.5
COBL NP_056013.2
COCH NP_004077.1
COG1 NP_061184.1
COG2 NP_031383.1
COG8 NP_115758.3
COL10A1 NP_000484.2
COL12A1 NP_004361.3
COL13A1 NP_001123575.1
COL14A1 NP_066933.1
COL15A1 NP_001846.3
COL16A1 NP_001847.3
COL18A1 NP_085059.2
COL18A1 NP_569711.2
COL19A1 NP_001849.2
COL1A1 NP_000079.2
COL20A1 NP_065933.2
COL21A1 NP_110447.2
COL22A1 NP_690848.1
COL24A1 NP_690850.2
COL26A1 NP_001265492.1
COL27A1 NP_116277.2
COL28A1 NP_001032852.2
COL2A1 NP_001835.3
COL3A1 NP_000081.1
COL3A1 NP_000081.2
COL4A2 NP_001837.2
COL4A3 NP_000082.2
COL4A4 NP_000083.3
COL4A6 NP_378667.1
COL5A1 NP_000084.3
COL5A2 NP_000384.2
COL6A1 NP_001839.2
COL6A2 NP_001840.3
COL6A5 NP_001265227.1
COL6A5 NP_694996.5
COL6A6 NP_001096078.1
COL7A1 NP_000085.1
COL8A1 NP_065084.2
COL8A2 NP_005193.1
COL9A1 NP_001842.3
COL9A3 NP_001844.3
COLEC10 NP_006429.2
COLQ NP_005668.2
COMMD10 NP_057228.1
COMP NP_000086.2
COMT NP_000745.1
COP1 NP_071902.2
COPA NP_004362.2
COPS8 NP_006701.1
COPZ1 NP_057141.1
COQ3 NP_059117.3
COQ4 NP_057119.3
COQ5 NP_115690.3
COQ6 NP_872282.1
COQ7 NP_057222.2
COQ8A NP_064632.2
COQ8B NP_079152.3
CORIN NP_006578.2
CORO1A NP_009005.1
CORO1B NP_065174.1
CORO7 NP_078811.3
COX10 NP_001294.2
COX15 NP_510870.1
COX4I2 NP_115998.2
COX5B NP_001853.2
CP NP_000087.2
CPA1 NP_001859.1
CPA2 NP_001860.2
CPA3 NP_001861.2
CPA6 NP_065094.3
CPB1 NP_001862.2
CPD NP_001295.2
CPE NP_001864.1
CPEB3 NP_055727.3
CPEB4 NP_085130.2
CPED1 NP_079189.4
CPN1 NP_001299.1
CPN2 NP_001073982.3
CPNE1 NP_690902.1
CPNE3 NP_003900.1
CPNE4 NP_570720.1
CPNE5 NP_065990.1
CPNE7 NP_705900.1
CPO NP_775100.1
CPOX NP_000088.3
CPQ NP_057218.1
CPS1 NP_001866.2
CPSF2 NP_059133.1
CPT2 NP_000089.1
CPVL NP_112601.3
CPXM2 NP_937791.2
CPZ NP_001014447.2
CR2 NP_001006659.1
CRADD NP_003796.1
CRB1 NP_957705.1
CRB2 NP_775960.4
CRB3 NP_631900.1
CRCP NP_001135886.1
CREB1 NP_604391.1
CREB3L4 NP_001242907.1
CREB5 NP_878901.2
CREBBP NP_004371.2
CRELD1 NP_001070883.2
CRELD2 NP_001128573.1
CREM NP_898829.1
CRHR1 NP_004373.2
CRIP1 NP_001302.1
CRISPLD2 NP_113664.1
CRLF1 NP_004741.1
CRLS1 NP_061968.1
CRNN NP_057274.1
CROCC NP_055490.4
CROT NP_066974.2
CRP NP_000558.2
CRPPA NP_001094896.1
CRTAM NP_062550.2
CRTAP NP_006362.1
CRTC3 NP_073606.3
CRX NP_000545.1
CRYAA NP_000385.1
CRYAB NP_001276737.1
CRYBA1 NP_005199.2
CRYBA4 NP_001877.1
CRYBB1 NP_001878.1
CRYBB2 NP_000487.1
CRYBB3 NP_004067.1
CRYBG1 NP_001615.2
CRYGB NP_005201.2
CRYGC NP_066269.1
CRYGD NP_008822.2
CRYGN NP_653328.1
CRYGS NP_060011.1
CRYM NP_001879.1
CRYZ NP_001880.2
CSF1R NP_001275634.1
CSF2 NP_000749.2
CSF2RA NP_001155001.1
CSF2RA NP_006131.2
CSF2RB NP_000386.1
CSF3R NP_000751.1
CSGALNACT1 NP_001341412.1
CSK NP_004374.1
CSKMT NP_001036694.1
CSNK2A1 NP_808227.1
CSPG4 NP_001888.2
CSRP1 NP_004069.1
CSRP3 NP_003467.1
CST3 NP_000090.1
CSTA NP_005204.1
CSTB NP_000091.1
CSTF1 NP_001315.1
CTAG2 NP_066274.2
CTBP1 NP_001319.1
CTC1 NP_079375.3
CTCF NP_006556.1
CTDP1 NP_004706.3
CTDSPL2 NP_057480.2
CTF1 NP_001321.1
CTH NP_001893.2
CTHRC1 NP_612464.1
CTLA4 NP_005205.2
CTNNA1 NP_001894.2
CTNNA2 NP_001158355.1
CTNNA3 NP_037398.2
CTNNAL1 NP_003789.1
CTNNB1 NP_001895.1
CTNNBL1 NP_110517.2
CTNND1 NP_001078927.1
CTNND2 NP_001323.1
CTNS NP_001026851.2
CTPS1 NP_001896.2
CTR9 NP_055448.1
CTRC NP_009203.2
CTRL NP_001898.1
CTSA NP_000299.3
CTSB NP_001899.1
CTSC NP_001805.4
CTSD NP_001900.1
CTSF NP_003784.2
CTSG NP_001902.1
CTSK NP_000387.1
CTSL NP_001903.1
CTSZ NP_001327.2
CTU2 NP_001012777.1
CUL1 NP_003583.2
CUL3 NP_003581.1
CUL4B NP_001073341.1
CUL4B NP_003579.3
CUL7 NP_055595.2
CUL9 NP_055904.1
CUX1 NP_853530.2
CUZD1 NP_071317.2
CWC27 NP_005860.2
CWF19L1 NP_060764.3
CWH43 NP_079363.2
CX3CL1 NP_002987.1
CX3CR1 NP_001328.1
CXCL1 NP_001502.1
CXCL10 NP_001556.2
CXCL9 NP_002407.1
CXCR1 NP_000625.1
CXCR2 NP_001548.1
CXCR4 NP_003458.1
CYB5A NP_683725.1
CYB5R2 NP_057313.2
CYB5R3 NP_000389.1
CYB5R4 NP_057314.2
CYBA NP_000092.2
CYBB NP_000388.2
CYC1 NP_001907.3
CYCS NP_061820.1
CYFIP1 NP_055423.1
CYFIP2 NP_001032410.1
CYFIP2 NP_001278650.1
CYLC2 NP_001331.1
CYP11A1 NP_000772.2
CYP11B1 NP_000488.3
CYP11B2 NP_000489.3
CYP17A1 NP_000093.1
CYP19A1 NP_000094.2
CYP1A1 NP_001306146.1
CYP1A2 NP_000752.2
CYP20A1 NP_803882.1
CYP21A2 NP_000491.4
CYP24A1 NP_000773.2
CYP26A1 NP_000774.2
CYP26B1 NP_063938.1
CYP26C1 NP_899230.2
CYP27A1 NP_000775.1
CYP27B1 NP_000776.1
CYP2C18 NP_000763.1
CYP2C8 NP_000761.3
CYP2C9 NP_000762.2
CYP2E1 NP_000764.1
CYP2F1 NP_000765.2
CYP2R1 NP_078790.2
CYP2S1 NP_085125.1
CYP2U1 NP_898898.1
CYP2W1 NP_060251.2
CYP3A4 NP_059488.2
CYP3A43 NP_476436.1
CYP4A11 NP_000769.2
CYP4B1 NP_001093242.1
CYP4F11 NP_067010.3
CYP4F22 NP_775754.2
CYP4V2 NP_997235.3
CYP4X1 NP_828847.1
CYP4Z1 NP_835235.1
CYP7A1 NP_000771.2
CYP7B1 NP_004811.1
CYP8B1 NP_004382.2
CYSLTR1 NP_006630.1
CYSLTR2 NP_001295396.1
CYSLTR2 NP_001295405.1
CYTH4 NP_037517.1
DAAM2 NP_001188356.1
DAB2IP NP_115941.2
DACT1 NP_001072988.1
DACT1 NP_057735.2
DAG1 NP_004384.5
DAO NP_001908.3
DAP3 NP_004623.1
DAPK2 NP_055141.2
DARS1 NP_001340.2
DAW1 NP_849143.1
DBF4B NP_663696.1
DBH NP_000778.3
DBI NP_001073331.1
DBN1 NP_001350470.2
DBN1 NP_004386.3
DBNDD2 NP_060948.3
DBR1 NP_057300.2
DBT NP_001909.3
DCAF15 NP_612362.2
DCAF17 NP_079276.2
DCAF4 NP_056419.2
DCAF6 NP_060912.2
DCBLD1 NP_001353387.1
DCC NP_005206.2
DCDC2 NP_057440.2
DCK NP_000779.1
DCLRE1A NP_055696.3
DCLRE1B NP_073747.1
DCLRE1C NP_001029027.1
DCN NP_001911.1
DCP2 NP_689837.2
DCPS NP_054745.1
DCST1 NP_689707.2
DCSTAMP NP_110415.1
DCT NP_001913.2
DCTN1 NP_004073.2
DCTN3 NP_009165.1
DCX NP_000546.2
DDB2 NP_000098.1
DDC NP_001076440.2
DDI1 NP_001001711.1
DDIAS NP_659455.3
DDIT3 NP_004074.2
DDN NP_055901.2
DDOST NP_005207.2
DDR2 NP_006173.2
DDX18 NP_006764.3
DDX19B NP_009173.1
DDX20 NP_009135.4
DDX21 NP_004719.2
DDX24 NP_065147.1
DDX25 NP_037396.3
DDX3X NP_001180345.1
DDX4 NP_077726.1
DDX41 NP_057306.2
DDX42 NP_987095.1
DDX46 NP_001287789.1
DDX46 NP_055644.2
DDX50 NP_076950.1
DDX51 NP_778236.2
DDX53 NP_874358.2
DDX55 NP_065987.1
DDX56 NP_061955.1
DDX58 NP_055129.2
DDX59 NP_001026895.2
DDX6 NP_004388.2
DDX60L NP_001012985.2
DEAF1 NP_066288.2
DECR1 NP_001350.1
DEDD2 NP_579874.1
DEF6 NP_071330.3
DEFA5 NP_066290.1
DEFB108B NP_001002035.1
DEFB126 NP_112193.1
DEFB129 NP_543021.1
DEFB132 NP_997352.1
DELE1 NP_055588.3
DENND1B NP_001182144.1
DENND2B NP_998783.1
DENND4C NP_001372965.1
DENND4C NP_001372972.1
DENND5B NP_659410.3
DEPDC5 NP_001129501.1
DEPDC5 NP_001229825.1
DERA NP_057038.2
DES NP_001918.3
DGAT1 NP_036211.2
DGCR6 NP_005666.2
DGKD NP_690618.2
DGKE NP_003638.1
DGKH NP_821077.1
DGKZ NP_963290.1
DGLUCY NP_079228.4
DGUOK NP_550438.1
DHCR24 NP_055577.1
DHCR7 NP_001157289.1
DHCR7 NP_001351.2
DHDDS NP_995583.1
DHDH NP_055290.1
DHFR NP_000782.1
DHH NP_066382.1
DHODH NP_001352.2
DHRS4 NP_066284.2
DHRS9 NP_001363853.1
DHTKD1 NP_061176.4
DHX30 NP_619520.1
DHX32 NP_060650.2
DHX34 NP_055496.2
DHX35 NP_068750.2
DHX37 NP_116045.2
DHX38 NP_054722.2
DHX57 NP_945314.1
DIABLO NP_063940.1
DIAPH1 NP_005210.3
DIAPH3 NP_001035982.1
DIP2B NP_775873.2
DIPK1C NP_001037834.2
DIS3L NP_001137160.1
DIS3L2 NP_689596.4
DISC1 NP_061132.2
DISP1 NP_001364158.1
DISP1 NP_116279.2
DISP2 NP_277045.1
DISP3 NP_065831.1
DIXDC1 NP_001033043.1
DKC1 NP_001354.1
DKK4 NP_055235.1
DKKL1 NP_055234.1
DLAT NP_001922.2
DLD NP_000099.2
DLEC1 NP_031361.2
DLGAP1 NP_004737.2
DLK1 NP_003827.3
DLK1 NP_003827.4
DLK2 NP_076421.2
DLL1 NP_005609.3
DLL3 NP_982353.1
DLL4 NP_061947.1
DLX4 NP_612138.1
DMBT1 NP_001364459.1
DMBT1 NP_015568.2
DMGDH NP_037523.2
DMP1 NP_001073380.1
DMRT1 NP_068770.2
DMRT2 NP_870987.2
DMRTB1 NP_149056.1
DMXL1 NP_001277250.1
DNA2 NP_001073918.2
DNAAF1 NP_848547.4
DNAAF3 NP_001243644.1
DNAAF4 NP_570722.2
DNAAF5 NP_060272.3
DNAAF8 NP_631909.2
DNAI1 NP_036276.1
DNAI2 NP_075462.3
DNAJB11 NP_057390.1
DNAJB13 NP_705842.2
DNAJB2 NP_006727.2
DNAJB6 NP_490647.1
DNAJB8 NP_699161.1
DNAJB9 NP_036460.1
DNAJC13 NP_056083.3
DNAJC16 NP_056106.1
DNAJC21 NP_001012339.2
DNAJC3 NP_006251.1
DNAJC30 NP_115693.2
DNAJC5 NP_079495.1
DNAJC6 NP_055602.1
DNALI1 NP_003453.3
DNASE1L3 NP_004935.1
DNASE2B NP_067056.2
DNLZ NP_001074318.1
DNM1 NP_001005336.1
DNM1 NP_004399.2
DNM1L NP_036192.2
DNM2 NP_001005360.1
DNM2 NP_001005361.1
DNMBP NP_056036.1
DNMT3A NP_072046.2
DNTT NP_004079.3
DOC2A NP_003577.2
DOCK10 NP_055504.2
DOCK2 NP_004937.1
DOCK3 NP_004938.1
DOCK5 NP_079216.4
DOK1 NP_001372.1
DOK2 NP_003965.2
DOK7 NP_775931.3
DOLK NP_055723.1
DOP1A NP_055833.2
DOP1B NP_001307643.1
DPAGT1 NP_001373.2
DPEP1 NP_001376395.1
DPF2 NP_006259.1
DPH1 NP_001333503.1
DPH1 NP_001374.3
DPH6 NP_542381.1
DPM1 NP_003850.1
DPM2 NP_003854.1
DPP10 NP_065919.3
DPP3 NP_569710.2
DPP4 NP_001926.2
DPP9 NP_631898.3
DPT NP_001928.2
DPY19L4 NP_861452.2
DPYD NP_000101.2
DPYS NP_001376.1
DPYSL5 NP_064519.2
DQX1 NP_598376.2
DRC1 NP_659475.2
DRC7 NP_001276091.1
DRD2 NP_000786.1
DRD5 NP_000789.1
DRG2 NP_001379.1
DROSHA NP_001369437.1
DRP2 NP_001930.2
DSC1 NP_077739.1
DSC2 NP_077740.1
DSC3 NP_001932.2
DSCAM NP_001380.2
DSCAML1 NP_065744.3
DSE NP_037484.1
DSEL NP_115536.2
DSG1 NP_001933.2
DSG2 NP_001934.2
DSG3 NP_001935.2
DSG4 NP_817123.1
DSN1 NP_001138787.1
DSP NP_004406.2
DSPP NP_055023.2
DSTYK NP_056190.1
DTNB NP_068707.1
DTX3L NP_612144.1
DTX4 NP_055992.1
DTYMK NP_036277.2
DUOX1 NP_787954.1
DUOX2 NP_001350640.1
DUOXA1 NP_653166.2
DUOXA2 NP_997464.2
DUS2 NP_060273.1
DUSP11 NP_003575.2
DUSP19 NP_543152.1
DVL1 NP_001317240.1
DXO NP_005501.2
DYDC2 NP_115748.1
DYNC1I1 NP_001129028.1
DYNC1I2 NP_001369.1
DYNC2I1 NP_060521.4
DYNC2I2 NP_443076.2
DYNC2LI1 NP_057092.2
DYNLT2B NP_689986.2
DYRK1A NP_001334650.1
DYRK3 NP_003573.2
DYSF NP_001124459.1
DYTN NP_001087199.1
DZIP1L NP_775814.2
E2F1 NP_005216.1
E2F7 NP_976328.2
E2F8 NP_078956.2
EARS2 NP_001077083.1
EBF3 NP_001005463.1
EBP NP_006570.1
ECE1 NP_001388.1
ECEL1 NP_004817.2
ECHS1 NP_004083.3
ECI1 NP_001910.2
ECI2 NP_996667.2
ECM1 NP_004416.2
ECT2 NP_001245244.1
ECT2L NP_001071174.1
EDA NP_001390.1
EDA2R NP_068555.2
EDAR NP_071731.1
EDC4 NP_055144.3
EDN3 NP_996917.1
EDNRB NP_001116131.1
EED NP_003788.2
EEF1A1 NP_001393.1
EEF1A2 NP_001949.1
EEF1AKMT3 NP_056248.2
EEF1B2 NP_001950.1
EEF1G NP_001395.1
EEF2 NP_001952.1
EEF2K NP_037434.2
EEFSEC NP_068756.2
EEPD1 NP_085139.2
EFCAB12 NP_997190.1
EFCAB5 NP_940931.3
EFCAB6 NP_073622.2
EFEMP1 NP_001034437.1
EFEMP2 NP_058634.4
EFHB NP_653316.3
EFHC1 NP_060570.2
EFHC2 NP_079460.2
EFHD1 NP_079478.1
EFL1 NP_078856.4
EFNA1 NP_004419.2
EFNB1 NP_004420.1
EFR3A NP_055952.2
EFTUD2 NP_004238.3
EGF NP_001954.2
EGFL6 NP_056322.2
EGFL7 NP_057299.1
EGFL8 NP_085155.1
EGFLAM NP_689616.2
EGFR NP_005219.2
EGLN1 NP_071334.1
EGLN2 NP_542770.2
EGLN3 NP_071356.1
EGR2 NP_000390.2
EHBP1 NP_056067.2
EHBP1L1 NP_001092879.1
EHHADH NP_001957.2
EHMT1 NP_079033.4
EID1 NP_055150.1
EID3 NP_001008395.1
EIF2AK2 NP_001129123.1
EIF2AK3 NP_004827.4
EIF2B1 NP_001405.1
EIF2B2 NP_055054.1
EIF2B3 NP_065098.1
EIF2B4 NP_001029288.1
EIF2B5 NP_003898.2
EIF2D NP_008824.2
EIF2S1 NP_004085.1
EIF2S3 NP_001406.1
EIF3B NP_001032360.1
EIF3F NP_003745.1
EIF4A2 NP_001958.2
EIF4B NP_001408.2
EIF5B NP_056988.3
ELAC1 NP_061166.1
ELAC2 NP_060597.4
ELANE NP_001963.1
ELF1 NP_758961.1
ELFN2 NP_443138.2
ELK1 NP_001107595.1
ELL NP_006523.1
ELMO2 NP_573403.1
ELMOD2 NP_714913.1
ELMOD3 NP_001128494.1
ELN NP_000492.2
ELOC NP_005639.1
ELP1 NP_003631.2
ELP2 NP_060725.1
ELP4 NP_061913.3
ELP5 XP_011522081.1
EMC1 NP_055862.1
EMC10 NP_996261.1
EMC4 NP_057538.1
EMC7 NP_064539.1
EMD NP_000108.1
EME2 NP_001244299.1
EMID1 NP_597712.2
EMILIN2 NP_114437.2
EMILIN3 NP_443078.1
EML1 NP_004425.2
EML4 NP_061936.3
EML6 NP_001034842.2
ENAH NP_060682.2
ENDOD1 NP_055851.1
ENDOG NP_004426.2
ENDOU NP_001165910.1
ENDOV NP_775898.2
ENG NP_000109.1
ENG NP_001108225.1
ENGASE NP_001036038.1
ENO3 NP_443739.3
ENPEP NP_001968.3
ENPP1 NP_006199.2
ENPP2 NP_001035181.1
ENPP3 NP_005012.2
ENPP4 NP_055751.1
ENTPD1 NP_001091645.1
ENTPD1 NP_001767.3
ENTPD2 NP_982293.1
ENTPD3 NP_001239.2
ENTPD4 NP_004892.1
ENTPD6 NP_001238.3
ENTPD7 NP_065087.1
EPAS1 NP_001421.2
EPB41 NP_976218.1
EPB41L1 NP_036288.2
EPB41L2 NP_001422.1
EPB41L4A NP_071423.4
EPCAM NP_002345.2
EPHA1 NP_005223.4
EPHA10 NP_001092909.1
EPHA2 NP_004422.2
EPHA4 NP_004429.1
EPHA8 NP_065387.1
EPHB2 NP_004433.2
EPHB4 NP_004435.3
EPHX1 NP_000111.1
EPHX1 NP_001129490.1
EPHX2 NP_001970.2
EPM2A NP_005661.1
EPN1 NP_001123543.1
EPN3 NP_060427.2
EPO NP_000790.2
EPRS1 NP_004437.2
EPS15 NP_001972.1
EPX NP_000493.1
ERAP1 NP_001035548.1
ERAP2 NP_071745.1
ERBB2 NP_004439.2
ERBB4 NP_005226.1
ERC2 NP_056391.1
ERCC1 NP_001974.1
ERCC2 NP_000391.1
ERCC4 NP_005227.1
ERCC5 NP_000114.2
ERCC5 NP_000114.3
ERCC6 NP_000115.1
ERCC8 NP_000073.1
EREG NP_001423.1
ERF NP_006485.2
ERI1 NP_699163.2
ERICH6B NP_872348.2
ERLIN2 NP_009106.1
ERMARD NP_060811.1
ERV3-1 NP_001007254.2
ESCO2 NP_001017420.1
ESD NP_001975.1
ESF1 NP_001263309.1
ESPL1 NP_036423.4
ESPN NP_113663.2
ESPNL NP_919288.2
ESR2 NP_001035365.1
ESRP1 NP_060167.2
ESRP2 NP_079215.2
ESRRB NP_004443.3
ESYT1 NP_056107.1
ESYT3 NP_114119.2
ETFA NP_000117.1
ETFB NP_001976.1
ETFBKMT NP_001129335.1
ETFDH NP_004444.2
ETHE1 NP_055112.2
ETNK1 XP_016875069.1
ETV4 NP_001073143.1
ETV6 NP_001978.1
ETV7 NP_057219.1
EVC NP_714928.1
EVC2 NP_667338.3
EVPL NP_001979.2
EXD3 NP_060290.3
EXO1 NP_569082.2
EXOC1 NP_001020095.1
EXOC3L4 NP_001071062.1
EXOC4 NP_068579.3
EXOC5 NP_006535.1
EXOSC1 NP_057130.1
EXOSC2 NP_055100.2
EXOSC3 NP_057126.2
EXOSC8 NP_852480.1
EXPH5 NP_055880.2
EXT1 NP_000118.2
